"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B","BurrRidge01 A","BurrRidge01 B"
"2026-07-18 22:00:00",,183,186,169,185
"2026-07-18 23:00:00",,191,194,181,202
"2026-07-19 00:00:00",,176,179,177,195
"2026-07-19 01:00:00",,156,159,163,178
"2026-07-19 02:00:00",,151,153,150,162
"2026-07-19 03:00:00",,152,155,131,153
"2026-07-19 04:00:00",,155,157,134,154
"2026-07-19 05:00:00",,158,161,135,154
"2026-07-19 06:00:00",,155,158,140,158
"2026-07-19 07:00:00",,145,152,147,160
"2026-07-19 08:00:00",,133,137,133,153
"2026-07-19 09:00:00",,126,132,126,148
"2026-07-19 10:00:00",,118,126,126,148
"2026-07-19 11:00:00",,113,118,122,143
"2026-07-19 12:00:00",,108,111,118,138
"2026-07-19 13:00:00",,106,109,115,134
"2026-07-19 14:00:00",,108,111,109,128
"2026-07-19 15:00:00",,113,114,113,132
"2026-07-19 16:00:00",,116,116,118,138
"2026-07-19 17:00:00",,118,120,116,137
"2026-07-19 18:00:00",,118,122,120,143
"2026-07-19 19:00:00",,124,130,116,137
"2026-07-19 20:00:00",,131,137,116,136
"2026-07-19 21:00:00",,134,139,124,145
"2026-07-19 22:00:00",,134,138,129,152
"2026-07-19 23:00:00",,132,138,129,151
"2026-07-20 00:00:00",,131,138,130,151
"2026-07-20 01:00:00",,129,138,129,150
"2026-07-20 02:00:00",,130,139,129,150
"2026-07-20 03:00:00",,132,141,131,149
"2026-07-20 04:00:00",,133,143,131,151
"2026-07-20 05:00:00",,135,146,130,150
"2026-07-20 06:00:00",,136,146,129,148
"2026-07-20 07:00:00",,134,140,124,141
"2026-07-20 08:00:00",,128,132,117,135
"2026-07-20 09:00:00",,120,125,112,131
"2026-07-20 10:00:00",,111,119,113,132
"2026-07-20 11:00:00",,117,125,113,133
"2026-07-20 12:00:00",,403,427,114,134
"2026-07-20 13:00:00",,129,135,115,134
"2026-07-20 14:00:00",,119,125,114,133
"2026-07-20 15:00:00",,113,119,113,133
"2026-07-20 16:00:00",,110,113,115,134
"2026-07-20 17:00:00",,110,113,116,135
"2026-07-20 18:00:00",,118,124,116,137
"2026-07-20 19:00:00",,126,131,117,137
"2026-07-20 20:00:00",,130,134,114,133
"2026-07-20 21:00:00",,130,134,114,133
"2026-07-20 22:00:00",,131,135,116,135
"2026-07-20 23:00:00",,130,134,110,129
"2026-07-21 00:00:00",,124,128,98,115
"2026-07-21 01:00:00",,105,110,81,93
"2026-07-21 02:00:00",,92,95,73,85
"2026-07-21 03:00:00",,84,87,60,68
"2026-07-21 04:00:00",,77,80,32,46
"2026-07-21 05:00:00",,65,68,22,33
"2026-07-21 06:00:00",,55,57,24,38
"2026-07-21 07:00:00",,45,51,31,45
"2026-07-21 08:00:00",,51,53,49,56
"2026-07-21 09:00:00",,56,59,59,66
"2026-07-21 10:00:00",,60,65,68,78
"2026-07-21 11:00:00",,66,72,74,84
"2026-07-21 12:00:00",,62,68,70,79
"2026-07-21 13:00:00",,59,64,65,73
"2026-07-21 14:00:00",,58,62,58,65
"2026-07-21 15:00:00",,51,55,52,57
"2026-07-21 16:00:00",,47,53,45,54
"2026-07-21 17:00:00",,45,53,46,55
"2026-07-21 18:00:00",,33,40,41,52
"2026-07-21 19:00:00",,21,26,38,48
"2026-07-21 20:00:00",,10,11,11,20
"2026-07-21 21:00:00",,17,18,8,16
"2026-07-21 22:00:00",,18,19,11,21
"2026-07-21 23:00:00",,11,12,9,20
