timestamp,name,pm2.5,meta.avg_frequency,meta.description,meta.host,meta.job,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,vsn
2026-07-10 19:10:07.112071552+00:00,aqt.particle.pm2.5,3.8,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:15:06.343767276+00:00,aqt.particle.pm2.5,2.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:20:06.551667697+00:00,aqt.particle.pm2.5,0.8,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:25:06.757747323+00:00,aqt.particle.pm2.5,3.4,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:30:06.979020287+00:00,aqt.particle.pm2.5,8.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:35:07.199533038+00:00,aqt.particle.pm2.5,1.6,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:40:06.413613961+00:00,aqt.particle.pm2.5,0.4,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:45:06.621897362+00:00,aqt.particle.pm2.5,0.5,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:50:06.845337957+00:00,aqt.particle.pm2.5,0.5,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 19:55:07.067616078+00:00,aqt.particle.pm2.5,0.6,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:00:06.283147858+00:00,aqt.particle.pm2.5,2.0,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:05:06.489695548+00:00,aqt.particle.pm2.5,1.6,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:10:06.710140374+00:00,aqt.particle.pm2.5,0.4,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:15:06.931345897+00:00,aqt.particle.pm2.5,1.7,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:20:07.137605965+00:00,aqt.particle.pm2.5,1.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:25:06.350767400+00:00,aqt.particle.pm2.5,0.5,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:30:06.571495163+00:00,aqt.particle.pm2.5,0.6,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:35:06.816791873+00:00,aqt.particle.pm2.5,0.5,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:40:07.069860936+00:00,aqt.particle.pm2.5,0.4,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
2026-07-10 20:45:06.320426668+00:00,aqt.particle.pm2.5,0.6,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c6d5.ws-nxcore,waggle-aqt530-5511,-9999.9,000048b02dd3c6d5,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W095,core,W095
